n	i	Nsites	phi
74	24	3	0.0616666666666667
74	37	2	0.027027027027027
74	10	1	0.115625
74	31	3	0.0555138784696174
61	11	7	0.110909090909091
61	21	7	0.0726190476190476
61	7	14	0.161375661375661
61	26	9	0.067032967032967
61	17	20	0.0815508021390374
61	22	8	0.0710955710955711
61	18	9	0.0788113695090439
61	30	15	0.0655913978494624
61	23	12	0.0697940503432494
61	16	9	0.0847222222222222
61	13	17	0.0977564102564103
61	29	19	0.0657327586206897
61	27	7	0.0664488017429194
61	25	15	0.0677777777777778
61	28	12	0.066017316017316
61	9	12	0.13034188034188
61	12	13	0.103741496598639
61	14	19	0.0927051671732523
61	20	13	0.074390243902439
61	15	10	0.0884057971014493
61	8	17	0.143867924528302
61	24	10	0.0686936936936937
61	10	8	0.119607843137255
61	19	14	0.0764411027568922
108	12	1	0.09375
108	47	1	0.0376700383676317
115	52	1	0.0351037851037851
115	56	1	0.0348062953995157
115	45	1	0.0365079365079365
115	41	1	0.0379037574159525
115	54	1	0.0349119611414693
92	25	2	0.0549253731343284
92	21	1	0.0617035546613011
92	28	1	0.0513392857142857
92	40	1	0.0442307692307692
92	14	1	0.0842490842490842
92	46	1	0.0217391304347826
92	13	1	0.0895813047711782
92	16	1	0.0756578947368421
92	23	1	0.0579710144927536
92	29	1	0.0503557744937055
103	34	1	0.0439045183290708
103	18	1	0.0673202614379085
113	19	1	0.0632698768197088
113	14	1	0.0815295815295815
91	25	2	0.0551515151515152
91	26	1	0.0538461538461538
91	12	1	0.0959915611814346
91	41	1	0.044390243902439
91	15	1	0.0798245614035088
91	20	1	0.0640845070422535
91	24	2	0.056592039800995
91	19	1	0.0665204678362573
91	44	1	0.0440038684719536
48	11	72	0.117936117936118
48	21	67	0.0846560846560847
48	7	86	0.167247386759582
48	17	70	0.0910815939278937
48	22	78	0.0839160839160839
48	18	90	0.0888888888888889
48	23	73	0.0834782608695652
48	13	79	0.105494505494505
48	16	81	0.09375
48	6	120	0.19047619047619
48	9	83	0.136752136752137
48	12	81	0.111111111111111
48	14	73	0.100840336134454
48	15	79	0.096969696969697
48	20	91	0.0857142857142857
48	8	69	0.15
48	24	38	0.0416666666666667
48	10	84	0.126315789473684
48	19	81	0.0871143375680581
48	5	124	0.223255813953488
107	33	2	0.0438165438165438
87	35	1	0.0478021978021978
87	11	1	0.104066985645933
87	33	1	0.0488215488215488
87	17	1	0.073109243697479
87	22	2	0.0608391608391608
87	42	1	0.046031746031746
87	18	1	0.070048309178744
87	16	1	0.0765845070422535
87	23	2	0.0591032608695652
87	13	1	0.0904365904365904
87	39	1	0.046474358974359
87	12	1	0.0966666666666667
87	15	1	0.0805555555555555
87	38	1	0.0467239527389903
87	24	1	0.0575396825396825
87	37	3	0.047027027027027
87	43	1	0.0459830866807611
87	31	1	0.0501152073732719
77	35	1	0.0523809523809524
77	11	2	0.106060606060606
77	33	1	0.053030303030303
77	32	4	0.0534722222222222
77	21	1	0.0654761904761905
77	26	4	0.0580693815987934
77	22	3	0.0636363636363636
77	18	1	0.0725047080979284
77	30	2	0.0546099290780142
77	23	1	0.0619967793880837
77	13	1	0.0925480769230769
77	27	1	0.057037037037037
77	25	1	0.0592307692307692
77	36	4	0.0521680216802168
77	12	2	0.0987179487179487
77	15	1	0.0827956989247312
77	14	2	0.0873015873015873
77	20	1	0.0675438596491228
77	8	4	0.139492753623188
77	38	2	0.0519568151147098
77	34	3	0.0526675786593707
77	24	2	0.0605345911949686
77	37	2	0.052027027027027
77	19	2	0.0698729582577133
77	10	2	0.114925373134328
77	31	1	0.0539971949509116
123	33	1	0.0414141414141414
50	11	80	0.116550116550117
50	21	47	0.0821018062397373
50	7	88	0.166112956810631
50	17	58	0.089126559714795
50	22	60	0.0811688311688312
50	18	62	0.0868055555555556
50	13	60	0.103950103950104
50	16	63	0.0919117647058824
50	23	62	0.0805152979066023
50	6	64	0.189393939393939
50	25	30	0.04
50	9	60	0.13550135501355
50	12	60	0.109649122807018
50	15	42	0.0952380952380952
50	20	66	0.0833333333333333
50	14	72	0.0992063492063492
50	8	66	0.148809523809524
50	24	67	0.0801282051282051
50	19	60	0.0848896434634974
50	10	56	0.125
39	11	332	0.126623376623377
39	7	320	0.174107142857143
39	17	308	0.10427807486631
39	18	297	0.103174603174603
39	13	305	0.115384615384615
39	16	267	0.105978260869565
39	6	375	0.196969696969697
39	9	257	0.144444444444444
39	12	322	0.12037037037037
39	15	339	0.108333333333333
39	14	297	0.111428571428571
39	8	289	0.157258064516129
39	4	477	0.278571428571429
39	19	300	0.102631578947368
39	10	325	0.13448275862069
39	5	416	0.229411764705882
64	32	1	0.03125
64	21	10	0.070874861572536
64	7	15	0.160401002506266
64	26	10	0.0647773279352227
64	17	10	0.0801001251564456
64	18	9	0.0772946859903382
64	30	5	0.0627450980392157
64	16	7	0.0833333333333333
64	25	12	0.0656410256410256
64	27	3	0.0640640640640641
64	28	9	0.0634920634920635
64	14	8	0.0914285714285714
64	20	7	0.0727272727272727
64	24	5	0.0666666666666667
64	10	10	0.118518518518519
64	31	10	0.0625610948191593
64	11	8	0.109777015437393
64	22	6	0.0692640692640693
64	23	6	0.0678685047720042
64	13	7	0.0965309200603318
64	29	6	0.0630541871921182
